label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank01,U13C15NGly-ctrl-1,U13C15NGly-ctrl-2,U13C15NGly-ctrl-3,U13C15NGly-itaco-1,U13C15NGly-itaco-2,U13C15NGly-itaco-3,U13C15NSer-ctrl-1,U13C15NSer-ctrl-2,U13C15NSer-ctrl-3,U13C15NSer-itaco-1,U13C15NSer-itaco-2,U13C15NSer-itaco-3
,0,11,12,88.04021,12.96976,0.8150355,C12 PARENT,sarcosine,sarcosine,C3H7NO2,0.3497591,2.166447,88.0402,117058.1,963059,3182661,2672122,1980690,1502439,1459596,3198837,1255900,2183112,1974226,1031764,1316169
,0,12,1,90.04056,13.11068,0.5648181,C13N15-label-1-1,sarcosine,sarcosine,C3H7NO2,0.4906759,2.54198,88.0402,0,0,0,0,0,0,0,0,2576.418,1696.209,857.5215,1282.285,0
,0,13,1,92.04733,13.00233,0.7646779,C13N15-label-3-1,sarcosine,sarcosine,C3H7NO2,0.382328,1.906364,88.0402,0,0,0,0,2228.507,0,0,0,1692.5,4166.164,0,0,0
,0,14,10,89.04355,12.96385,0.8394445,C13-label-1,sarcosine,sarcosine,C3H7NO2,0.343853,2.313398,88.0402,4146.8,32051.1,108677,66635.16,63960.27,41814.87,42567.58,109575.1,39182.86,65613.7,71663.35,30277.64,42546.21
,0,15,0,90.04691,12.8785,0.142132,C13-label-2,sarcosine,sarcosine,C3H7NO2,0.2584963,2.287621,88.0402,0,0,1498.728,0,0,0,0,1421.468,883.9941,464.2413,0,0,0
,0,16,4,91.05027,13.00017,0.84741,C13-label-3,sarcosine,sarcosine,C3H7NO2,0.380168,2.178619,88.0402,0,4222.781,0,0,0,0,0,0,13247.57,23207.19,11342.98,4566.81,6460.459
,0,17,9,89.03722,12.97374,0.8436331,N15-label-1,sarcosine,sarcosine,C3H7NO2,0.3537407,2.39925,88.0402,6415.258,11426.6,26896.9,23439.16,17255.41,10289.75,12318.66,24873,120477.6,186367.2,108559.2,42668.38,40262.91
,0,18,12,88.04019,13.39489,0.8160358,C12 PARENT,alanine,alanine,C3H7NO2,0.404891,2.339763,88.04018,109082.6,908287.2,2238594,2845030,1104071,952578.8,1033698,2524818,963442.2,2881551,1516123,920062.5,1299239
,0,19,0,90.04056,13.3064,0.1525441,C13N15-label-1-1,alanine,alanine,C3H7NO2,0.3164043,2.54198,88.04018,0,0,0,0,0,0,0,0,3320.984,2671.58,857.5215,1282.285,0
,0,20,1,92.04734,13.06793,0.7646779,C13N15-label-3-1,alanine,alanine,C3H7NO2,0.07792854,1.740594,88.04018,0,0,0,0,633.0968,0,0,0,1692.5,4166.164,0,0,0
,0,21,12,89.04357,13.40835,0.8453954,C13-label-1,alanine,alanine,C3H7NO2,0.4183521,2.056354,88.04018,1919.251,30193.8,74947.3,112798.9,46323.31,35106.39,34959.84,89964.62,34787.98,126645.1,46227.14,26600.29,46800.36
,0,22,0,90.04689,13.26558,0.1652032,C13-label-2,alanine,alanine,C3H7NO2,0.2755795,2.457074,88.04018,0,0,1498.728,0,0,0,0,631.7707,883.9941,2728.819,0,0,0
,0,23,1,91.05029,13.40208,0.7434652,C13-label-3,alanine,alanine,C3H7NO2,0.412077,1.92724,88.04018,0,1817.135,0,0,3897.085,0,0,0,1606.881,2040.648,979.5989,1671.859,5075.756
,0,24,10,89.03722,13.40861,0.8422591,N15-label-1,alanine,alanine,C3H7NO2,0.4186068,2.39925,88.04018,7083.088,18591.88,33652.85,27991.75,6831.91,7474.77,7681.42,19661.53,119354.5,365981.3,85915.39,47046.17,69565.68
,0,25,12,89.02424,7.350503,0.8408676,C12 PARENT,lactate,lactate,C3H6O3,0.4494972,1.971101,89.02422,1133775,4.43E+07,1.03E+08,7.45E+07,1.54E+08,9.93E+07,9.93E+07,1.47E+08,4.24E+07,1.03E+08,1.69E+08,7.10E+07,1.12E+08
,0,26,12,90.02754,7.348517,0.8368124,C13-label-1,lactate,lactate,C3H6O3,0.4514828,2.542347,89.02422,43659.19,1484896,3463592,2461181,5160030,3400939,3303627,5177976,1471279,3518357,5751050,2468090,3697563
,0,27,12,91.03078,7.356923,0.8443602,C13-label-2,lactate,lactate,C3H6O3,0.4430771,3.855298,89.02422,1275.619,41666.43,108371.7,68160.94,69376.5,52695.86,52801.72,160823.9,29500.46,76344.34,85535.49,36929.59,48460.36
,0,28,5,92.03429,7.498511,0.7644037,C13-label-3,lactate,lactate,C3H6O3,0.3014894,2.072428,89.02422,12649.72,0,0,0,0,0,0,0,601848.8,1453322,1416676,356946.9,541232.3
,0,29,13,103.0035,13.1763,0.8220848,C12 PARENT,Malonic acid,Malonic acid,C3H4O4,0.136301,1.481383,103.0035,586112.3,522439.3,735351.2,711835.5,701601.8,957701.6,735863.4,1207015,375920.1,715625.1,773181.2,666827.8,701807
,0,30,10,104.0069,13.19139,0.8506901,C13-label-1,Malonic acid,Malonic acid,C3H4O4,0.1513901,1.100319,103.0035,22210.48,14814.47,21396.96,20724.79,25347.96,32059.76,17634.4,40204.26,6886.309,18795.17,10295.77,14746.28,18139.01
,0,31,0,105.0102,13.1798,0.05181566,C13-label-2,Malonic acid,Malonic acid,C3H4O4,0.139801,2.034304,103.0035,1437.098,0,0,0,0,0,0,0,0,0,0,0,0
,0,32,1,106.0135,13.15442,0.8473223,C13-label-3,Malonic acid,Malonic acid,C3H4O4,0.114418,2.01505,103.0035,6365.215,0,0,0,0,0,0,0,0,0,0,0,0
,0,33,12,104.0352,13.43331,0.8560543,C12 PARENT,serine,serine,C3H7NO3,0.0333147,1.540028,104.0352,8976.866,2383815,6074902,5668626,4689222,4828736,4737864,5701260,869938.8,1477944,1181679,642166.1,849397.5
,0,34,4,106.0355,13.39961,0.8451691,C13N15-label-1-1,serine,serine,C3H7NO3,0.000390053,2.302438,104.0352,0,3304.946,5861.931,4831.203,7331.916,11646.17,7729.803,7049.28,36168.03,37416.25,18640.99,12638.39,16438.31
,0,35,12,107.0388,13.39362,0.8564765,C13N15-label-2-1,serine,serine,C3H7NO3,0.006383896,1.995749,104.0352,0,250987.2,659751.5,522538,738506,701475.8,522666.7,577197.1,399237.5,705289.9,676866.8,490089.5,646574.6
,0,36,10,108.0422,13.39976,0.8438209,C13N15-label-3-1,serine,serine,C3H7NO3,0.000242233,1.694755,104.0352,0,13826.31,47443.43,55365.94,11358.83,10422.88,37501.29,1374.588,1.49E+07,2.85E+07,2.73E+07,2.04E+07,2.77E+07
,0,37,12,105.0384,13.39166,0.8553193,C13-label-1,serine,serine,C3H7NO3,0.008340836,2.179024,104.0352,0,70194.23,223774.5,179553.3,156121,143279.5,143665,187907,400018.7,513564.1,861775,604218.4,560192.6
,0,38,8,106.0418,13.39585,0.8492928,C13-label-2,serine,serine,C3H7NO3,0.00414753,2.302301,104.0352,0,11578.93,39235.07,33920.47,7686.176,6470.413,3788.74,40404.92,28336.02,19370.27,32227.71,12071.37,12184.94
,0,39,5,107.0452,13.39722,0.8553837,C13-label-3,serine,serine,C3H7NO3,0.002775192,1.781813,104.0352,0,0,0,0,0,0,0,0,461088.3,764987.3,654195.8,353646.2,474865.9
,0,40,11,105.0321,13.39576,0.8562672,N15-label-1,serine,serine,C3H7NO3,0.004235268,2.251794,104.0352,0,19950.88,46379.62,37437.15,15146.48,11937.66,14254.91,49255,474741.2,708634,177446.2,84358.72,93603.2
,0,41,12,108.0123,12.9117,0.844458,C12 PARENT,Hypotaurine,Hypotaurine,C2H7NO2S,0.3116961,1.624591,108.0123,0,623275.2,1663188,2540602,2453910,2345765,2829669,1622910,925406.8,2121436,2884891,1696143,2458964
,0,42,0,110.0127,12.88353,0.1320848,C13N15-label-1-1,Hypotaurine,Hypotaurine,C2H7NO2S,0.283534,1.31765,108.0123,0,0,0,643.9344,0,0,0,0,0,0,0,0,0
,0,43,11,109.0155,12.9118,0.8515061,C13-label-1,Hypotaurine,Hypotaurine,C2H7NO2S,0.311801,2.799371,108.0123,0,10624.98,35155.87,48827.06,35472.12,48211.53,67029.92,25775.14,18615.59,47125.36,60655.35,38578.13,54125.51
,0,44,0,109.0093,12.91148,0.225794,N15-label-1,Hypotaurine,Hypotaurine,C2H7NO2S,0.3114767,2.309615,108.0123,0,0,5248.133,10831.62,4898.64,0,4501.08,4743.754,2181.383,4606.188,0,0,0
,0,45,12,114.0558,11.9524,0.8242545,C12 PARENT,proline,proline,C5H9NO2,0.1424017,2.274315,114.0558,17598.56,7769372,2.60E+07,2.43E+07,1.60E+07,1.48E+07,1.42E+07,2.30E+07,8749219,1.46E+07,9097739,5899270,7540030
,0,46,6,116.0562,11.94294,0.8501893,C13N15-label-1-1,proline,proline,C5H9NO2,0.1329355,2.037898,114.0558,0,0,4566.17,2925.372,1088.404,0,0,4109.258,23663.93,32224.71,10605.97,5459.789,6539.943
,0,47,12,115.0592,11.93489,0.8328235,C13-label-1,proline,proline,C5H9NO2,0.1248913,2.188174,114.0558,0,433637.5,1366522,1381558,871635.2,830750.2,760799.9,1243960,479507.8,792064.8,504868.8,324772.1,416943.4
,0,48,12,116.0624,11.94147,0.8505551,C13-label-2,proline,proline,C5H9NO2,0.1314745,2.695138,114.0558,0,8650.481,28998.4,27544.42,16880.76,14596.79,18846.57,23682.81,20963.88,37680.2,13264.33,4563.076,12076.76
,0,49,12,115.0528,11.94134,0.8521485,N15-label-1,proline,proline,C5H9NO2,0.13134,2.05567,114.0558,0,34417.31,122862.9,109625.9,62580.57,54221.17,46608.41,117041.7,430067.8,637520.8,205509.9,91568.56,127745.3
,0,50,12,115.0034,12.82999,0.8376149,C12 PARENT,fumarate,fumarate,C4H4O4,1.219987,2.321915,115.0034,23132.54,1456658,6715748,7752058,3613787,3330139,5817694,4577023,3452722,7317994,4266056,3020611,4460992
,0,51,11,116.0068,12.82213,0.8514927,C13-label-1,fumarate,fumarate,C4H4O4,1.212132,2.236066,115.0034,0,64881.29,297995,340284.5,167279.8,138214.6,221656.2,218393.5,164438.4,319625.9,161196.2,109136.2,196803.6
,0,52,2,117.0102,12.82554,0.8453935,C13-label-2,fumarate,fumarate,C4H4O4,1.215541,1.630068,115.0034,0,0,1552.355,2951.102,0,0,0,2007.93,11504.68,21808.18,1258.869,595.8797,0
,0,53,12,116.0715,11.24727,0.8227475,C12 PARENT,valine,valine,C5H11NO2,0.2372694,2.03763,116.0715,38084.82,897247.2,2241334,1658499,1928709,1869012,1419290,2854161,850080.8,2279707,1473894,1187636,1946414
,0,54,0,118.0718,11.16822,0.1165976,C13N15-label-1-1,valine,valine,C5H11NO2,0.1582174,2.261574,116.0715,0,0,0,0,0,0,0,0,0,1206.028,0,0,0
,0,55,12,117.0748,11.20914,0.8508797,C13-label-1,valine,valine,C5H11NO2,0.1991405,2.020168,116.0715,0,42338.04,119842.1,84905.41,105994.3,109494.6,81242.27,165794.4,35302.33,121703.8,77099.03,61421.11,104229.2
,0,56,1,118.0783,11.18085,0.6346347,C13-label-2,valine,valine,C5H11NO2,0.1708546,1.09842,116.0715,0,0,1429.717,1793.211,1290.882,517.1288,633.9972,1883.324,0,1327.366,460.912,0,587.866
,0,57,0,120.0857,11.27445,0.08421368,C13-label-4,valine,valine,C5H11NO2,0.2644501,4.828525,116.0715,0,0,0,0,0,0,0,0,0,0,0,486.9722,0
,0,58,11,117.0686,11.22249,0.8423187,N15-label-1,valine,valine,C5H11NO2,0.2124872,1.433745,116.0715,0,3034.771,9520.947,5825.766,4721.672,5377.286,4647.546,10335.84,13483,26187.17,17948.75,9692.791,12460.88
,0,59,13,117.0191,13.08461,0.8320375,C12 PARENT,succinate,succinate,C4H6O4,1.45461,1.890734,117.0191,468646.7,2923157,1.08E+07,7605338,2.37E+07,2.08E+07,2.08E+07,9008197,5295742,7396238,2.68E+07,1.70E+07,2.27E+07
,0,60,13,118.0225,13.0846,0.8322639,C13-label-1,succinate,succinate,C4H6O4,1.4546,1.939304,117.0191,22657.16,143154.8,511754.8,343614.8,1049828,948154.6,932316.1,399119.2,262513.3,339700.2,1207216,728169.8,1025739
,0,61,4,119.0257,13.08515,0.8453699,C13-label-2,succinate,succinate,C4H6O4,1.455147,2.884434,117.0191,0,659.3547,4919.93,2596.228,21432.98,12781.93,15952.09,7697.865,16947.14,25649.08,29673.22,17985.98,19678.49
,0,62,12,118.0507,13.02766,0.8597806,C12 PARENT,threonine,threonine,C4H9NO3,0.05766392,1.938839,118.0507,7892.556,1032290,3761639,3188506,2938226,2819323,2523486,3351328,954745.8,2752971,2586804,1744300,2390186
,0,63,0,120.0511,13.00807,0.08861544,C13N15-label-1-1,threonine,threonine,C4H9NO3,0.03806686,1.906533,118.0507,0,0,0,924.0347,0,0,0,0,0,0,0,0,0
,0,64,0,122.0578,13.07835,0.1016411,C13N15-label-3-1,threonine,threonine,C4H9NO3,0.1083498,2.187719,118.0507,0,0,0,0,0,0,0,0,0,825.9568,1515.85,0,0
,0,65,5,123.0612,13.08115,0.8499169,C13N15-label-4-1,threonine,threonine,C4H9NO3,0.1111507,2.107886,118.0507,0,0,0,0,0,0,0,0,11780.75,27554.7,35821.62,26396.1,29804.97
,0,66,12,119.054,13.00442,0.8530734,C13-label-1,threonine,threonine,C4H9NO3,0.03442001,2.883749,118.0507,0,46130.95,169425.8,139018.4,136561,102122.7,98457.81,143184.3,36001.89,127015.5,118274.4,67153.66,93417.62
,0,67,0,120.0574,13.10854,0.08574674,C13-label-2,threonine,threonine,C4H9NO3,0.1385422,1.96998,118.0507,520.0985,0,812.5645,675.3727,0,0,721.7479,0,0,0,0,0,0
,0,68,2,119.0477,13.02299,0.8001064,N15-label-1,threonine,threonine,C4H9NO3,0.05299187,2.819815,118.0507,0,2056.701,14531.49,8309.833,9500.354,9131.353,4222.295,10580.79,1276.874,7803.559,8645.045,4405.98,3357.107
,0,69,13,124.007,10.99791,0.8405331,C12 PARENT,taurine,taurine,C2H7NO3S,0.2179136,2.768567,124.007,33934.15,2.18E+07,5.39E+07,7.13E+07,8.18E+07,8.01E+07,8.72E+07,5.61E+07,3.69E+07,6.28E+07,9.40E+07,6.26E+07,8.59E+07
,0,70,0,127.0105,10.94908,0.1519191,C13N15-label-2-1,taurine,taurine,C2H7NO3S,0.1690798,5.406183,124.007,0,0,0,0,0,0,3790.496,2235.04,0,1908.04,3202.389,0,0
,0,71,12,125.0103,10.97868,0.8425215,C13-label-1,taurine,taurine,C2H7NO3S,0.1986809,3.173555,124.007,0,481600.6,1110858,1545790,1792960,1784288,1886385,1165526,819363.1,1390601,1960888,1363718,1789654
,0,72,4,126.0136,10.97871,0.8489673,C13-label-2,taurine,taurine,C2H7NO3S,0.1987104,4.177534,124.007,0,3452.468,7086.042,16667.29,5410.333,19698.03,16599.06,2311.905,1514.149,6085.233,8281.439,6537.989,5177.326
,0,73,12,125.004,10.99485,0.8439021,N15-label-1,taurine,taurine,C2H7NO3S,0.2148457,3.112683,124.007,0,65807.7,190397.1,258352.5,275150.8,306013.7,325786.8,198935.4,117679.9,211698.8,324258.9,218890.5,282754.5
,0,74,12,128.035,9.288581,0.8265353,C12 PARENT,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.2585812,2.145175,128.035,69291.66,8.98E+07,1.43E+08,1.08E+08,1.50E+08,1.32E+08,1.09E+08,1.80E+08,4.27E+07,1.50E+08,1.13E+08,9.45E+07,1.44E+08
,0,75,10,130.0352,9.257443,0.8465436,C13N15-label-1-1,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.2274437,3.872321,128.035,0,7776.43,21770.3,13193.29,24271.58,22576.41,24481.99,33850.61,15985.51,39185.58,26821.99,23891.88,28072.74
,0,76,12,129.0384,9.280373,0.8271834,C13-label-1,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.2503729,2.364995,128.035,2685.973,5097400,8098128,6442722,8553495,7496250,6150222,1.01E+07,2122657,8629209,6349478,5446278,8254024
,0,77,11,130.0416,9.251154,0.8279402,C13-label-2,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.2211542,3.402784,128.035,0,87381.88,160969.4,110406.8,158247.8,144674,123297,162277.4,46214.53,174032.1,98368.34,95592.81,136740.8
,0,78,0,131.045,9.215651,0.05425373,C13-label-3,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.1856508,2.561657,128.035,0,0,0,0,0,0,0,3824.457,0,0,0,0,0
,0,79,0,133.0516,9.21546,0.04833276,C13-label-5,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.1854601,3.899216,128.035,0,24382.04,0,0,0,0,0,24448.8,0,0,48542.76,29186.31,0
,0,80,12,129.0321,9.301006,0.8223119,N15-label-1,Pyrrolidonecarboxylic acid,Pyrrolidonecarboxylic acid,C5H7NO3,0.2710066,1.892089,128.035,4229.758,351235.6,527427.3,446394.2,537463.1,480244.5,390732.9,638986.8,340778,930162.7,630660.6,488341.2,760987.2
,0,81,12,129.0191,12.90172,0.8359274,C12 PARENT,itaconate,itaconate,C5H6O4,1.501722,1.892279,129.0191,85990.29,622803.2,1.47E+07,5485918,3.31E+08,2.87E+08,2.20E+08,2192463,4988229,1.32E+07,1.75E+08,2.07E+08,3.19E+08
,0,82,12,130.0224,12.90176,0.8369734,C13-label-1,itaconate,itaconate,C5H6O4,1.501759,2.581806,129.0191,4374.199,32602.92,782776.2,307317.8,1.90E+07,1.70E+07,1.29E+07,113998.5,278433.8,723975.6,1.01E+07,1.18E+07,1.84E+07
,0,83,8,131.0256,12.88445,0.8498169,C13-label-2,itaconate,itaconate,C5H6O4,1.484447,3.610141,129.0191,0,0,14013.39,4101.056,368553.3,317469,261096.8,758.821,7258.637,13168.42,173313.8,222592.7,360421.5
,0,84,0,132.03,13.00178,0.06558505,C13-label-3,itaconate,itaconate,C5H6O4,1.601785,4.276132,129.0191,3954.414,0,0,0,0,0,0,0,0,0,0,0,0
,0,85,9,129.0555,2.738626,0.7844124,C12 PARENT,Methyloxovaleric acid (Ketoleucine),Methyloxovaleric acid (Ketoleucine),C6H10O3,0.2286258,1.891746,129.0555,218453.7,1409587,3449721,2360166,3190301,2497598,2084390,5047822,1386570,3359537,2485619,1537823,2632135
,0,86,8,130.0587,2.720919,0.8486438,C13-label-1,Methyloxovaleric acid (Ketoleucine),Methyloxovaleric acid (Ketoleucine),C6H10O3,0.2109191,2.698406,129.0555,15575.96,99223.88,229836.9,141438.9,211044.4,163167.7,132490.4,348473.2,77470.12,219325.6,153254.2,98952.7,134005.5
,0,87,0,131.0621,2.729441,0.1530932,C13-label-2,Methyloxovaleric acid (Ketoleucine),Methyloxovaleric acid (Ketoleucine),C6H10O3,0.2194409,2.095629,129.0555,0,0,5659.342,2163.994,2926.804,2430.501,2408.245,4455.868,0,2468.6,0,0,0
,0,88,0,132.0663,3.0295,0.05110116,C13-label-3,Methyloxovaleric acid (Ketoleucine),Methyloxovaleric acid (Ketoleucine),C6H10O3,0.5195003,4.274954,129.0555,528.3516,0,0,0,0,0,0,0,0,0,0,0,0
,0,89,12,130.0506,13.01578,0.8165491,C12 PARENT,N-Propionylglycine,N-Propionylglycine,C5H9NO3,0.1342154,2.581245,130.0506,26630.38,4124450,1.29E+07,1.25E+07,9903753,8971951,9405348,1.19E+07,4075531,8778175,8423505,5401680,6784652
,0,90,12,131.0539,12.95288,0.8564872,C13-label-1,N-Propionylglycine,N-Propionylglycine,C5H9NO3,0.1971197,3.027207,130.0506,0,228748.5,728531.5,699802,540525.7,451818.2,497919.1,656294.5,220122.8,474437,474364.3,280048.6,357501.8
,0,91,3,132.0573,12.97859,0.8322459,C13-label-2,N-Propionylglycine,N-Propionylglycine,C5H9NO3,0.1714106,3.004206,130.0506,0,0,9642.787,10520.91,10314.51,6819.427,7102.08,8978.526,1835.094,5422.867,3759.931,1904.456,3449.817
,0,92,0,133.0606,12.99195,0.08230877,C13-label-3,N-Propionylglycine,N-Propionylglycine,C5H9NO3,0.1580486,3.325578,130.0506,0,0,0,0,0,0,0,0,818.8955,0,0,0,0
,0,93,6,131.0476,12.96313,0.8508714,N15-label-1,N-Propionylglycine,N-Propionylglycine,C5H9NO3,0.1868715,2.910916,130.0506,0,14797.96,50542.11,47018.02,28152.54,22238.61,28164.92,41463.61,14679.19,30130.65,23075.22,16044.37,17722.26
,0,94,11,130.0507,7.861087,0.8302066,C12 PARENT,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.2189126,2.346586,130.0506,18488.94,178443,810990.8,815216,795738.7,739111.5,889432.2,686096.2,452648.7,725731.7,939306.9,665895.5,860520.7
,0,95,0,132.051,7.930507,0.07640921,C13N15-label-1-1,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.1494932,2.657694,130.0506,0,0,593.8575,0,0,0,0,0,602.9153,1488.441,447.3394,0,556.9546
,0,96,0,134.0579,7.862683,0.07703619,C13N15-label-3-1,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.2173166,0.910578,130.0506,0,0,0,0,0,0,0,0,0,0,0,0,374.7148
,0,97,10,131.054,7.873218,0.8284879,C13-label-1,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.2067819,2.32862,130.0506,0,11295.55,39121.54,39475.11,43254.63,35845.2,50317.99,38021.05,23727.32,31768.87,50382.25,33679.81,45133.02
,0,98,0,132.0575,8.107867,0.09512348,C13-label-2,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.02786732,1.155464,130.0506,0,0,0,0,0,0,0,0,1008.417,0,0,0,0
,0,99,0,133.0609,7.965009,0.08441015,C13-label-3,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.1149912,1.146751,130.0506,0,0,0,0,0,0,0,0,920.8025,1479.594,0,0,0
,0,100,8,131.0477,7.887043,0.8485358,N15-label-1,N-Acetyl-L-alanine,N-Acetyl-L-alanine,C5H9NO3,0.1929564,2.561606,130.0506,0,0,5081.913,4357.644,1275.012,1466.813,1878.599,3068.531,29620.52,43198.07,28777.99,18730.2,25451.39
,0,101,12,130.0617,13.02145,0.8534704,C12 PARENT,creatine,creatine,C4H9N3O2,0.04145432,3.754214,130.0617,1137.974,36744.92,112242.8,106723.5,202944.2,190400.2,242536.9,104307.5,56181.61,97356.37,207236.6,164323.4,218869.3
,0,102,0,135.066,12.9493,0.05488463,C13N15-label-3-2,creatine,creatine,C4H9N3O2,0.03069878,2.711341,130.0617,0,0,20383.62,0,0,0,0,0,0,0,0,0,0
,0,103,0,131.0651,13.01434,0.2887759,C13-label-1,creatine,creatine,C4H9N3O2,0.03434181,3.143368,130.0617,0,0,2482.748,2084.314,8260.946,8593.629,10602.33,2332.59,0,1474.221,6736.182,5634.309,10593.96
,0,104,12,130.0869,9.239084,0.828784,C12 PARENT,leucine,leucine,C6H13NO2,0.05908394,3.167005,130.0869,40327.2,5341074,1.35E+07,9876904,1.20E+07,1.09E+07,8778918,1.68E+07,5227924,1.37E+07,9677621,7083714,1.16E+07
,0,105,3,132.0873,9.239532,0.8180206,C13N15-label-1-1,leucine,leucine,C6H13NO2,0.05953121,3.119043,130.0869,0,534.9376,3846.416,1939.204,775.7664,932.7429,863.1711,1693.823,15178.95,29168.94,27248.34,6759.291,7973.152
,0,106,12,131.0903,9.208629,0.7900211,C13-label-1,leucine,leucine,C6H13NO2,0.02862835,3.142765,130.0869,0,361680.9,928886.8,686946.1,846212.2,771240.5,597301.1,1168132,344131.3,984152.7,627496.4,495782,778225.7
,0,107,9,132.0937,9.21692,0.8172807,C13-label-2,leucine,leucine,C6H13NO2,0.03691959,2.77235,130.0869,0,10418.74,23067.2,23912.55,24128.45,13400.93,18277.87,25990.24,8783.909,21818.04,18673.85,8325.323,24630.67
,0,108,0,133.097,9.856566,0.1310008,C13-label-3,leucine,leucine,C6H13NO2,0.6765661,2.980738,130.0869,0,0,0,0,0,0,0,0,0,569.933,0,0,0
,0,109,12,131.084,9.19794,0.7897134,N15-label-1,leucine,leucine,C6H13NO2,0.01793957,2.910108,130.0869,0,22140.28,63973.15,43699.95,42266.83,45058.63,33958.5,84191.44,195413.6,410576.8,275708.3,99696.59,177431.1
,0,110,12,130.087,9.972519,0.7791173,C12 PARENT,isoleucine,isoleucine,C6H13NO2,0.2425194,2.580523,130.087,36251.66,6015842,1.40E+07,1.13E+07,1.29E+07,1.16E+07,9194584,1.77E+07,5312362,1.45E+07,1.02E+07,7692458,1.26E+07
,0,111,7,132.0874,9.88743,0.8423989,C13N15-label-1-1,isoleucine,isoleucine,C6H13NO2,0.1574306,2.772482,130.087,0,583.143,5116.753,2360.664,1178.138,4334.128,1122.512,7868.453,14520.1,33548.58,17375.54,10701.38,12657.23
